item,year,month,farmgate_usd,retail_usd
egg,2023,3,2.0370,2.7410
egg,2023,4,2.0410,2.7410
egg,2023,5,2.0470,2.7410
egg,2023,6,2.0500,2.7410
egg,2023,7,2.0560,2.7410
egg,2023,8,2.0470,2.7410
egg,2023,9,2.0370,2.7410
egg,2023,10,2.0250,2.7410
egg,2023,11,2.0160,2.7410
egg,2023,12,2.0060,2.7410
egg,2024,1,1.9320,2.6870
egg,2024,2,1.9380,2.6870
egg,2024,3,1.9440,2.6870
egg,2024,4,1.9510,2.6870
egg,2024,5,1.9570,2.6870
egg,2024,6,1.9630,2.6870
egg,2024,7,2.0530,2.6870
egg,2024,8,2.1440,2.6870
egg,2024,9,2.0080,2.6870
egg,2024,10,1.8720,2.6870
egg,2024,11,2.0170,2.6870
egg,2024,12,2.1620,2.6870
egg,2025,1,1.6220,2.6550
egg,2025,2,1.6730,2.6550
egg,2025,3,1.7200,2.6550
egg,2025,4,1.7700,2.6550
egg,2025,5,1.7990,2.6550
egg,2025,6,1.8290,2.6550
egg,2025,7,1.8580,2.6550
egg,2025,8,1.8790,2.6550
egg,2025,9,1.9000,2.6550
egg,2025,10,1.9170,2.6550
egg,2025,11,1.9090,2.6550
egg,2025,12,1.9000,2.6550
egg,2026,1,1.8270,2.5110
egg,2026,2,1.7980,2.5110
egg,2026,3,1.7690,2.5110
egg,2026,4,1.5980,2.5110
egg,2026,5,1.5700,2.5110
egg,2026,6,1.5700,2.5110
egg,2026,7,1.5700,2.5110
egg,2026,8,1.5700,2.5110
