品类,年份,月份,出场价 USD/kg,同期终端零售价 USD/kg
肉鸡(活重出栏),2025,5,1.1949,2.4265
鸡蛋(出场),2025,5,1.4093,1.8260
生猪(活重出场),2025,6,2.5229,5.0459
肉鸡(活重出栏),2025,6,1.1927,2.4465
鸡蛋(出场),2025,6,1.3761,1.8349
生猪(活重出场),2025,7,2.5336,5.0672
肉鸡(活重出栏),2025,7,1.2393,2.4664
鸡蛋(出场),2025,7,1.3431,1.8437
生猪(活重出场),2025,8,2.5442,5.0884
肉鸡(活重出栏),2025,8,1.2553,2.4863
鸡蛋(出场),2025,8,1.3102,1.8525
生猪(活重出场),2025,9,2.5547,5.1095
肉鸡(活重出栏),2025,9,1.2713,2.5061
鸡蛋(出场),2025,9,1.2774,1.8613
生猪(活重出场),2025,10,2.5653,5.1305
肉鸡(活重出栏),2025,10,1.2872,2.5258
鸡蛋(出场),2025,10,1.2447,1.8701
生猪(活重出场),2025,11,2.5758,5.1515
肉鸡(活重出栏),2025,11,1.3030,2.5455
鸡蛋(出场),2025,11,1.2121,1.8788
生猪(活重出场),2025,12,2.5862,5.1724
肉鸡(活重出栏),2025,12,1.3188,2.5650
鸡蛋(出场),2025,12,1.1797,1.8875
生猪(活重出场),2026,1,2.3902,5.1220
肉鸡(活重出栏),2026,1,1.2805,2.3902
鸡蛋(出场),2026,1,1.2805,1.7195
生猪(活重出场),2026,2,2.3698,5.0868
肉鸡(活重出栏),2026,2,1.2549,2.3759
鸡蛋(出场),2026,2,1.2549,1.7058
生猪(活重出场),2026,3,2.3494,5.0670
肉鸡(活重出栏),2026,3,1.2295,2.3798
鸡蛋(出场),2026,3,1.2295,1.7103
生猪(活重出场),2026,4,2.2803,5.1687
肉鸡(活重出栏),2026,4,1.2040,2.4324
鸡蛋(出场),2026,4,1.2466,1.7330
生猪(活重出场),2026,5,2.3208,5.1991
肉鸡(活重出栏),2026,5,1.0328,2.4423
鸡蛋(出场),2026,5,1.2151,1.7618
生猪(活重出场),2026,6,2.3308,5.2008
肉鸡(活重出栏),2026,6,0.8498,2.2580
鸡蛋(出场),2026,6,1.2443,1.8058
生猪(活重出场),2026,7,2.3408,6.1649
肉鸡(活重出栏),2026,7,0.9703,2.4136
鸡蛋(出场),2026,7,1.1219,1.7223
生猪(活重出场),2026,8,2.3508,5.1069
肉鸡(活重出栏),2026,8,1.0603,2.4387
鸡蛋(出场),2026,8,1.2118,1.8055
